old_indication;index;old_indication_normalized
z428- encounter for other plastic and reconstructive surgery following medical procedure or healed i;1;ssi
"thermal burns; third-degree burns";2;"burns; burns"
"surgical wounds; incision sites; propolis treatment; wound healing enhancement";3;"ssi; incision; root canal; wound"
superficial injuries of the head, facial lacerations and incisions;4;"digestive diseases; facial aging"
"split-thickness skin graft donor sites; delayed wound healing; infection; scarring";5;"sts graft; wound; uti; scarring"
"skin graft complications; split thickness skin graft";6;"postop complications postop postop sore throat postop recovery postop pa; sts graft"
"skin abrasions; injuries; poisoning and certain other consequences of external causes";7;"skin graft skin elasticity skin hydration oily skin skin abrasions; hand; teeth disorders musculoskeletal disorders edentulism eye disorders"
second-degree burns;8;burns
second-degree burn wounds;9;burns
"rhinoplasty; postoperative edema; bleeding; ecchymosis";10;"rhinoplasty; postop complications postop postop sore throat postop recovery postop pa; bleeding; ecchymosis"
"rhinoplasty; postoperative bleeding; tranexamic acid";11;"rhinoplasty; bleeding; txa"
"pressure ulcers; sacrum area; intensive care unit patients";12;"bp; sacral; icu patients"
"pressure ulcers; nonhealing wounds";13;"bp; burns"
"pressure ulcer; sacrum area";14;"ulcer; sacral"
"fractures of the lower leg; high-tension closed incisions after distal lower extremity surgery";15;"digestive diseases; le lower extremity"
"diabetic foot ulcers; non-pressure chronic ulcer of lower leg";16;"diabetic neuropathy; lower leg injury"
diabetic foot ulcers;17;diabetic neuropathy
"chronic wounds; malodorous wounds; recalcitrant wounds";18;"burns; burns; burns"
chronic venous leg ulcers (cvlus);19;cvlu
"chronic non-healing ulcers; pressure ulcers; non-pressure chronic ulcers of other parts of the foot,";20;"bp; bp; digestive diseases"
chronic burn injuries;21;burns
"burns; skin grafting";22;"burns; skin graft skin elasticity skin hydration oily skin skin abrasions"
"burn wounds; surgical site infections; non-healing wounds";23;"burns; ssi; burns"
"burn wounds; second-degree burns of the trunk; initial encounter";24;"burns; digestive diseases; initial encounter."
"burn wounds; second-degree burns";25;"burns; burns"
"burn wound management; skin grafting";26;"wound; skin graft skin elasticity skin hydration oily skin skin abrasions"
"burn injury; third-degree burns of the head, face, and neck";27;"tbi; digestive diseases; face; hn cancer"
"burn disorder; thermal burn; wound healing";28;"mdd bd aud oud asd; burns; wound"
"burn debridement; postoperative pain management";29;"burns; pain"
"2nd degree burn wounds; 3rd degree burn wounds";30;"burns; burns"
"vulvodynia; pudendal neuralgia; vestibulitis; dyspareunia";31;"vulvodynia; tn phn phn pn on; vestibulitis; dyspareunia"
"vomiting of pregnancy; morning sickness";32;"pregnancy; ams"
"vaginal diseases; specifically, g03015500937 - en23-021";33;"cvd msd ad pd ed; specifically; hd"
"uterovaginal prolapse; unspecified degree";34;"pelvic organ prolapse; unspecified"
uterovaginal prolapse;35;pelvic organ prolapse
urological and genital diseases;36;nutrmetab diseases urogenital diseases biliarypancreas diseases
"total laparoscopic hysterectomy; postoperative complications; vaginal cuff dehiscence; infections";37;"tkr; postop complications postop postop sore throat postop recovery postop pa; atrophy; infections"
total laparoscopic hysterectomy;38;tkr
"third-stage hemorrhage; high-risk pregnancy";39;"hemorrhage; pregnancy"
"severe pre-eclampsia; cesarean section";40;"peclamp; c-section"
"secondary amenorrhea; elevated prolactin levels";41;"shpt; salivary fluoride salivary ph elevated prolactin energy testosterone"
secondary amenorrhea;42;shpt
"second trimester pregnancy termination; complications and outcomes of medical and mechanical methods";43;"2nd trimester abortion; teeth disorders musculoskeletal disorders edentulism eye disorders"
"puerperium; complication of anesthesia during the puerperium; fasting before caesarean";44;"puerperium; digestive diseases; cs"
